,A,B,K,d,r,s,D,j,j_deg,gmm
903,-9997099589642240*theta_K - 923041852694665984/3,-97967285943141261372968960/27*theta_K - 3015138017767854906956162048/27,x^2 - x - 978,2,2,0,3913,-4096,1,True
904,-27102455285802248667700354717420647975615744*theta_K - 2502395851442799103468635557209812671043252736/3,-13828752495326328223906752178230555439757405415839646024533637616640/27*theta_K - 425607354389300932869604676606538588277870828057093703492344036038656/27,x^2 - x - 978,2,2,0,3913,-4096,1,False
905,-504647554304*theta_K - 46594595693056/3,35135999169416576000/27*theta_K + 1081380236964547610624/27,x^2 - x - 978,2,2,0,3913,-4096,1,False
906,-30080*theta_K - 2827840/3,42226688/3*theta_K + 11909273600/27,x^2 - 982,2,2,0,3928,8000,1,True
907,30080*theta_K - 2827840/3,-42226688/3*theta_K + 11909273600/27,x^2 - 982,2,2,0,3928,8000,1,True
908,-2068960254534816831363554174887402386319378523158501517209600*theta_K - 64006272678649190659082062725422817807957433167724178271439360,9082555103919074453288827248105732314303792279988507206876464596464869302718205718078697472*theta_K + 280981955707510337032712095284481686863864462634410558789968296405841392945453983114383770624,x^2 - x - 988,2,2,0,3953,-147197952000,1,True
909,-7459279458999528427520*theta_K - 230763579915322232936960,-1966188433347090958589795497603072*theta_K - 60826878006274510637089206240963584,x^2 - x - 988,2,2,0,3953,-147197952000,1,True
910,-1244015971475369147476474092060672*theta_K + 175640492092780267747083616839008256,668384839846022450118280654192351589881021728817152*theta_K + 6868195818528252731412145061481612679696444966305792,x^2 - x + 990,2,0,1,-3959,4096,1,False
911,-1621532154916313112734760375538858610036022787511943168*theta_K + 14931419735121231733323266958727535607558186237463363584,1329917828057869688253482029514746195784928790389026257078939617993619112542076928*theta_K - 105314614132125019907496533499901775421622760525209568076894061860744450385857478656,x^2 - x + 990,2,0,1,-3959,4096,1,False
912,-93706571428694751658131073262560081065236724645091076310587687490950393263277845766301800314786396766208*theta_K + 862870431337928732464210306932741596945521866925165632516010617582646318609837988362008929015083359535104,-768388130371077831163803806874651212812437808758048905023524164192072982665969738108794845777750737306276822782439569797053658003455303599900870448888414208*theta_K + 60847743933103959865556024584259884800751700143123631106689434490838659511411824459929154319855594336063709665449407977698726733139242077980220297968632201216,x^2 - x + 990,2,0,1,-3959,38477541376,1,False
913,-71890323689270318005899356823947768909705068624960052010234787025465316641007992832*theta_K + 10150072120470924504822646761823956981179886564126021438308224130908689182103422631936,-386173466226598879036105731704264182130053816179251931666656900276609540993300332730476599594591210484610879474583300495900672*theta_K - 3968245280032246894231515659782020434902315626203743249272201511753042478681202109058044921132959007141950668753840725360115712,x^2 - x + 990,2,0,1,-3959,38477541376,1,False
914,-6596816/3*theta_K - 204397409/3,216508533808/27*theta_K + 2236109026102/9,x^2 - x - 991,2,2,0,3965,4913,1,False
915,-17/3*theta_K - 527/3,896/27*theta_K + 9254/9,x^2 - x - 991,2,2,0,3965,4913,1,True
916,51935/3*theta_K - 1765807/3,-157693648/27*theta_K + 5098256674/27,x^2 - x - 991,2,2,0,3965,4913,1,False
917,-67456/3*theta_K - 2090065/3,223873664/27*theta_K + 6936529138/27,x^2 - x - 991,2,2,0,3965,4913,1,True
918,-257/3*theta_K - 7967/3,65408/27*theta_K + 675542/9,x^2 - x - 991,2,2,0,3965,16974593,1,True
919,-99728336/3*theta_K - 3090007889/3,15805122967984/27*theta_K + 163235958905446/9,x^2 - x - 991,2,2,0,3965,16974593,1,False
920,-1019776/3*theta_K - 31596865/3,16342777472/27*theta_K + 506366627074/27,x^2 - x - 991,2,2,0,3965,16974593,1,True
921,785135/3*theta_K - 26694847/3,-11511636304/27*theta_K + 372172737202/27,x^2 - x - 991,2,2,0,3965,16974593,1,False
922,5005239157612429021125000000*theta_K - 157804067885836303860468750000,-1330831218216197488025195797358812500000000*theta_K + 41958134615215077832575768690065531250000000,x^2 - 994,2,2,0,3976,-3375,1,True
923,103165967400087711562103965500000000*theta_K - 3252592431986888930614791361875000000,124534673233396373530409043146789078264524500000000000*theta_K - 3926299979411241866077071265184710270513131750000000000,x^2 - 994,2,2,0,3976,-3375,1,False
924,20020956630449716084500000000*theta_K - 631216271543345215441875000000,-10646649745729579904201566378870500000000000*theta_K + 335665076921720622660606149520524250000000000,x^2 - 994,2,2,0,3976,-3375,1,False
925,25791491850021927890525991375000000*theta_K - 813148107996722232653697840468750000,15566834154174546691301130393348634783065562500000000*theta_K - 490787497426405233259633908148088783814141468750000000,x^2 - 994,2,2,0,3976,-3375,1,True
926,63071483760*theta_K - 1988502952300,48410174552061984*theta_K - 1526264633069948016,x^2 - 994,2,2,0,3976,16581375,1,False
927,15767870940*theta_K - 497125738075,6051271819007748*theta_K - 190783079133743502,x^2 - 994,2,2,0,3976,16581375,1,True
928,12240*theta_K - 385900,-4138656*theta_K + 130482576,x^2 - 994,2,2,0,3976,16581375,1,False
929,3060*theta_K - 96475,-517332*theta_K + 16310322,x^2 - 994,2,2,0,3976,16581375,1,True
930,13*theta_K - 417,-128*theta_K + 4102,x^2 - x - 995,2,2,0,3981,x^2 - 2638791*x + 22354272513,2,True
931,-208*theta_K - 6464,8192*theta_K + 254336,x^2 - x - 995,2,2,0,3981,x^2 - 2638791*x + 22354272513,2,True
932,-10613*theta_K - 329508,3341648*theta_K + 103750094,x^2 - x - 995,2,2,0,3981,x^2 - 2638791*x + 22354272513,2,True
933,-365339392*theta_K - 11342905136,-19056009571328*theta_K - 591643040885888,x^2 - x - 995,2,2,0,3981,x^2 - 2638791*x + 22354272513,2,True
934,-3322710400*theta_K - 314904608320/3,-1556552484494336/3*theta_K - 442559379047188480/27,x^2 - 998,2,2,0,3992,8000,1,True
935,-12870948654339944924382211200*theta_K - 1219823745307972498129923872320/3,3955666002925647349850792189118959359808512*theta_K + 3374027745440700630815300777441112124862781440/27,x^2 - 998,2,2,0,3992,8000,1,True
936,-45*theta_K - 1400,1136*theta_K + 35342,x^2 - x - 999,2,2,0,3997,-3375,1,True
937,45*theta_K - 1445,-1136*theta_K + 36478,x^2 - x - 999,2,2,0,3997,-3375,1,True
938,12240*theta_K - 393040,-4144128*theta_K + 133071744,x^2 - x - 999,2,2,0,3997,16581375,1,True
939,-12240*theta_K - 380800,4144128*theta_K + 128927616,x^2 - x - 999,2,2,0,3997,16581375,1,True
940,4425216*theta_K - 428387840/3,-791202549760/27*theta_K + 25531073985536/27,x^2 - x - 1009,2,2,0,4037,-32768,1,True
941,-4425216*theta_K - 415112192/3,791202549760/27*theta_K + 24739871435776/27,x^2 - x - 1009,2,2,0,4037,-32768,1,True
942,-21504*theta_K - 2025472/3,9662464*theta_K + 8190368768/27,x^2 - x - 1017,2,2,0,4069,262144,1,False
943,-11364873422898535576576*theta_K - 1070378675981901517907968/3,11136585774300236278617052509466624/3*theta_K + 3146633532768591985549402037713488896/27,x^2 - x - 1017,2,2,0,4069,262144,1,False
944,20020956630449716084500000000*theta_K - 649568815121257455186000000000,10717033062691212208548425566038000000000000*theta_K - 347674816905940481525658555490872000000000000,x^2 - x - 1020,2,2,0,4081,-3375,1,False
945,-1829289769830038699750126764087523737031590031250000*theta_K - 57515344491349921852197912858937368150574002093750000,-295964359856421803161348736707725274975202600636226736536779561719968750000000*theta_K - 9305519767863532054662328669140419227688867008076994938642327298973406250000000,x^2 - x - 1020,2,2,0,4081,-3375,1,False
946,-1251309789403107255281250000*theta_K - 39346741155675483693843750000,-167453641604550190758569149469343750000000*theta_K - 5264965372550769833079845780075531250000000,x^2 - x - 1020,2,2,0,4081,-3375,1,False
947,-1416539921212519176612916019549452521559500000000*theta_K - 44537931003603350278173847068669717787554000000000,6377623620002712699514941347652558043268431529198570307119502000000000000*theta_K + 200521112395827260394716306965317633583062207750782069032490856000000000000,x^2 - x - 1020,2,2,0,4081,-3375,1,False
948,-18718366922752490788852037574649145116959557994541417430693345071500000000*theta_K - 588530772780534663270817589633873740294468503731311324679355574338000000000,249126006173712993174462519771938662237733933325491087837058109695333362547560363296047455967916254000000000000*theta_K + 7832858578860665171291834592055203805036311393035922437727782983707801378490046169765221220550844712000000000000,x^2 - x - 1020,2,2,0,4081,16581375,1,False
949,264559866433194637801958658777048753942523996500000000*theta_K - 8583497888721426026463547595877581794579667442000000000,418634244354915627832593326002259906094738969922372841322847337812326000000000000*theta_K - 13581052088319539562120768425334260070926347948935261843545401200762744000000000000,x^2 - x - 1020,2,2,0,4081,16581375,1,False
950,-16534991652074664862622416173565547121407749781250000*theta_K - 519933626393014461791349308568783315039821465343750000,-6541160068045556684884270718785311032730296405037075645669489653317593750000000*theta_K - 205662778811947248973252735927062502575493890297076390659727404108600281250000000,x^2 - x - 1020,2,2,0,4081,16581375,1,False
951,-24172504146869711117273892588037865956404347426426279020117916567120531250000*theta_K - 760016223867566551387058357537201073865014463467987524356125344159665593750000,-11561111682655018496446491932326934042719022283450940348161964923171362315140021407082082263188285154303218750000000*theta_K - 363496987791416974156314197397369114451755878366463693011819599311323818484762435020539308659961291052599156250000000,x^2 - x - 1020,2,2,0,4081,16581375,1,False
952,-512*theta_K - 29696,-69632*theta_K - 1580032,x^2 - x - 1021,2,2,0,4085,-884736,1,False
953,-208384*theta_K - 6555136,-292999168*theta_K - 9216875520,x^2 - x - 1021,2,2,0,4085,-884736,1,True
954,-141008486592512*theta_K - 4435704295880192,5157481846926248677376*theta_K + 162238918643565621326848,x^2 - x - 1021,2,2,0,4085,-884736,1,True
955,-490339638784*theta_K - 15424615175680,1057585128040779776*theta_K + 33268457871376118784,x^2 - x - 1021,2,2,0,4085,-884736,1,False
956,-1024/3*theta_K - 32704/3,19456*theta_K + 16801792/27,x^2 - 1023,2,2,0,4092,x^2 + 259586*x - 451217663,2,False
957,-123904/3*theta_K - 3957184/3,25895936*theta_K + 22363185152/27,x^2 - 1023,2,2,0,4092,x^2 + 259586*x - 451217663,2,False
958,-126722816/3*theta_K - 4053149584/3,2543810948096/3*theta_K + 732259742259584/27,x^2 - 1023,2,2,0,4092,x^2 + 259586*x - 451217663,2,False
959,256*theta_K + 24560/3,1024/3*theta_K + 294784/27,x^2 - 1023,2,2,0,4092,x^2 + 259586*x - 451217663,2,True
960,-123904/3*theta_K - 3957184/3,-25895936*theta_K - 22363185152/27,x^2 - 1023,2,2,0,4092,x^2 + 259586*x - 451217663,2,False
961,30976*theta_K + 2971760/3,1362944/3*theta_K + 392357504/27,x^2 - 1023,2,2,0,4092,x^2 + 259586*x - 451217663,2,False
962,-1024/3*theta_K - 32704/3,-19456*theta_K - 16801792/27,x^2 - 1023,2,2,0,4092,x^2 + 259586*x - 451217663,2,False
963,1024/3*theta_K - 32704/3,-19456*theta_K + 16801792/27,x^2 - 1023,2,2,0,4092,x^2 + 259586*x - 451217663,2,False
964,-1047296/3*theta_K - 33497104/3,1911202816/3*theta_K + 550157582464/27,x^2 - 1023,2,2,0,4092,x^2 + 259586*x - 451217663,2,True
965,256*theta_K + 24560/3,-1024/3*theta_K - 294784/27,x^2 - 1023,2,2,0,4092,x^2 + 259586*x - 451217663,2,True
966,30976*theta_K + 2971760/3,-1362944/3*theta_K - 392357504/27,x^2 - 1023,2,2,0,4092,x^2 + 259586*x - 451217663,2,False
967,123904/3*theta_K - 3957184/3,-25895936*theta_K + 22363185152/27,x^2 - 1023,2,2,0,4092,x^2 + 259586*x - 451217663,2,False
968,1024/3*theta_K - 32704/3,19456*theta_K - 16801792/27,x^2 - 1023,2,2,0,4092,x^2 + 259586*x - 451217663,2,False
969,123904/3*theta_K - 3957184/3,25895936*theta_K - 22363185152/27,x^2 - 1023,2,2,0,4092,x^2 + 259586*x - 451217663,2,False
970,-1047296/3*theta_K - 33497104/3,-1911202816/3*theta_K - 550157582464/27,x^2 - 1023,2,2,0,4092,x^2 + 259586*x - 451217663,2,True
971,-126722816/3*theta_K - 4053149584/3,-2543810948096/3*theta_K - 732259742259584/27,x^2 - 1023,2,2,0,4092,x^2 + 259586*x - 451217663,2,False
972,16384/3*theta_K - 524224/3,-3728384/3*theta_K + 1073250304/27,x^2 - 1023,2,2,0,4092,x^2 - 68673340864*x + 118754503704577,2,False
973,-2029423616/3*theta_K - 64909838224/3,-54163808894976*theta_K - 46774674946955648/27,x^2 - 1023,2,2,0,4092,x^2 - 68673340864*x + 118754503704577,2,False
974,-16772096/3*theta_K - 536444944/3,-40694071296*theta_K - 35142505595008/27,x^2 - 1023,2,2,0,4092,x^2 - 68673340864*x + 118754503704577,2,True
975,-1982464/3*theta_K - 63431104/3,-4962479104/3*theta_K - 1428496154624/27,x^2 - 1023,2,2,0,4092,x^2 - 68673340864*x + 118754503704577,2,False
976,-123904*theta_K - 11896720/3,-10903552/3*theta_K - 3140052608/27,x^2 - 1023,2,2,0,4092,x^2 - 68673340864*x + 118754503704577,2,False
977,-1982464/3*theta_K - 63431104/3,4962479104/3*theta_K + 1428496154624/27,x^2 - 1023,2,2,0,4092,x^2 - 68673340864*x + 118754503704577,2,False
978,-16384/3*theta_K - 524224/3,-3728384/3*theta_K - 1073250304/27,x^2 - 1023,2,2,0,4092,x^2 - 68673340864*x + 118754503704577,2,False
979,-16384/3*theta_K - 524224/3,3728384/3*theta_K + 1073250304/27,x^2 - 1023,2,2,0,4092,x^2 - 68673340864*x + 118754503704577,2,False
980,-1024*theta_K - 98320/3,-8192/3*theta_K - 2359168/27,x^2 - 1023,2,2,0,4092,x^2 - 68673340864*x + 118754503704577,2,True
981,-16772096/3*theta_K - 536444944/3,40694071296*theta_K + 35142505595008/27,x^2 - 1023,2,2,0,4092,x^2 - 68673340864*x + 118754503704577,2,True
982,-2029423616/3*theta_K - 64909838224/3,54163808894976*theta_K + 46774674946955648/27,x^2 - 1023,2,2,0,4092,x^2 - 68673340864*x + 118754503704577,2,False
983,16384/3*theta_K - 524224/3,3728384/3*theta_K - 1073250304/27,x^2 - 1023,2,2,0,4092,x^2 - 68673340864*x + 118754503704577,2,False
984,-123904*theta_K - 11896720/3,10903552/3*theta_K + 3140052608/27,x^2 - 1023,2,2,0,4092,x^2 - 68673340864*x + 118754503704577,2,False
985,-1024*theta_K - 98320/3,8192/3*theta_K + 2359168/27,x^2 - 1023,2,2,0,4092,x^2 - 68673340864*x + 118754503704577,2,True
986,1982464/3*theta_K - 63431104/3,-4962479104/3*theta_K + 1428496154624/27,x^2 - 1023,2,2,0,4092,x^2 - 68673340864*x + 118754503704577,2,False
987,1982464/3*theta_K - 63431104/3,4962479104/3*theta_K - 1428496154624/27,x^2 - 1023,2,2,0,4092,x^2 - 68673340864*x + 118754503704577,2,False
988,9559044864*theta_K - 310556917504,-2877267891523584*theta_K + 93477482315203584,x^2 - x - 1023,2,2,0,4093,x^2 - 1162244726784*x + 47331076422500352,2,True
989,-9559044864*theta_K - 300997872640,2877267891523584*theta_K + 90600214423680000,x^2 - x - 1023,2,2,0,4093,x^2 - 1162244726784*x + 47331076422500352,2,True
990,3456850176*theta_K - 110781126976,617102004689920*theta_K - 19776169651009536,x^2 - 1027,2,2,0,4108,59319,1,False
991,3456850176*theta_K - 110781126976,-617102004689920*theta_K + 19776169651009536,x^2 - 1027,2,2,0,4108,59319,1,False
992,-3456850176*theta_K - 110781126976,-617102004689920*theta_K - 19776169651009536,x^2 - 1027,2,2,0,4108,59319,1,False
993,-3456850176*theta_K - 110781126976,617102004689920*theta_K + 19776169651009536,x^2 - 1027,2,2,0,4108,59319,1,False
994,-93065731066987900398273077145600*theta_K - 8873974807577437097122215136921088/3,-76924369180928561349583163778031253387826334822400/27*theta_K - 2444956220276178820446634161662616631001465646765056/27,x^2 - x - 1042,2,2,0,4169,-32768,1,True
995,-115372914134171576006135532529988379751373232429194143643354937153105609343558577746146975436800*theta_K - 11001002428772620170343029070958716252123881607960952234893035103737806028362095533964832710604288/3,3357647090436334655132533886528774103814814785800836772341470635550210183380439586647969482716414194257737173426530246477367277961442481699532800/27*theta_K + 106719108998424089541591146312399049224468897135542611304920657036516574626667104531113375581454099601117961236759718393779658014134659930469817344/27,x^2 - x - 1042,2,2,0,4169,-32768,1,True
996,89320*theta_K - 2884635,101539064*theta_K - 3279255910,x^2 - 1043,2,2,0,4172,-3375,1,True
997,89320*theta_K - 2884635,-101539064*theta_K + 3279255910,x^2 - 1043,2,2,0,4172,-3375,1,True
998,118918777042095800*theta_K - 3840542615453545755,155986040970105988476010264*theta_K - 5037648827733158902294920730,x^2 - 1043,2,2,0,4172,-3375,1,True
999,118918777042095800*theta_K - 3840542615453545755,-155986040970105988476010264*theta_K + 5037648827733158902294920730,x^2 - 1043,2,2,0,4172,-3375,1,True
1000,1518440*theta_K - 49038795,-5787726648*theta_K + 186917586870,x^2 - 1043,2,2,0,4172,16581375,1,True
1001,2021619209715628600*theta_K - 65289224462710277835,8891204335296041343132585048*theta_K - 287145983180790057430810481610,x^2 - 1043,2,2,0,4172,16581375,1,True
1002,1518440*theta_K - 49038795,5787726648*theta_K - 186917586870,x^2 - 1043,2,2,0,4172,16581375,1,True
1003,2021619209715628600*theta_K - 65289224462710277835,-8891204335296041343132585048*theta_K + 287145983180790057430810481610,x^2 - 1043,2,2,0,4172,16581375,1,True
1004,-13149636497280*theta_K - 1275853603380800/3,3528892667736456516608/27*theta_K + 4227080586822711109632,x^2 - 1046,2,2,0,4184,8000,1,True
1005,-836133206107800840878189832970796334720*theta_K - 81126467955189698739188318227408293377600/3,-1789291237040159552935314649337944520360722401031247361078272/27*theta_K - 2143300736067982124747191402999005891777529178298102043441152,x^2 - 1046,2,2,0,4184,8000,1,True
1006,-47360*theta_K - 1509680,-39252992*theta_K - 1251255424,x^2 - x - 1048,2,2,0,4193,-3375,1,True
1007,47360*theta_K - 1557040,39252992*theta_K - 1290508416,x^2 - x - 1048,2,2,0,4193,-3375,1,True
1008,-50320*theta_K - 1604035,-34959696*theta_K - 1114399362,x^2 - x - 1048,2,2,0,4193,16581375,1,True
1009,50320*theta_K - 1654355,34959696*theta_K - 1149359058,x^2 - x - 1048,2,2,0,4193,16581375,1,True
1010,-5531900000*theta_K - 530295899968/3,3927246093400000/3*theta_K + 1129414397311248496/27,x^2 - x - 1053,2,2,0,4213,-32768,1,True
1011,5531900000*theta_K - 546891599968/3,-3927246093400000/3*theta_K + 1164759612151848496/27,x^2 - x - 1053,2,2,0,4213,-32768,1,True
1012,-2095*theta_K - 67459,-298480*theta_K - 9610874,x^2 - x - 1069,2,2,0,4277,-1986121593,1,True
1013,-1011593689831*theta_K - 32572698095035,3166957844508967600*theta_K + 101974105597798877534,x^2 - x - 1069,2,2,0,4277,-1986121593,1,False
1014,-9460601*theta_K - 304625570,90575597840*theta_K + 2916478852014,x^2 - x - 1069,2,2,0,4277,-1986121593,1,False
1015,-224014160*theta_K - 7213118939,-10436294399440*theta_K - 336042296547594,x^2 - x - 1069,2,2,0,4277,-1986121593,1,True
1016,78301169296/3*theta_K - 2601944386816/3,385932919512276992/27*theta_K - 12824533817833782656/27,x^2 - x - 1071,2,2,0,4285,x^2 + 9199*x - 1367631,2,True
1017,-4893823081/3*theta_K - 52575900365,-6030201867379328/27*theta_K - 21594793226252614/3,x^2 - x - 1071,2,2,0,4285,x^2 + 9199*x - 1367631,2,True
1018,18901458558509056*theta_K - 628094630528847792,8808877064174279770181632*theta_K - 292718594592575861270092416,x^2 - x - 1071,2,2,0,4285,x^2 + 9199*x - 1367631,2,False
1019,-547375/3*theta_K - 5880624,-7133240896/27*theta_K - 25544893118/3,x^2 - x - 1071,2,2,0,4285,x^2 + 9199*x - 1367631,2,False
1020,-4965852460550854034662189116405328576512*theta_K - 161214644527378230983881573940674000453632,-1077654966235713988251654661523527600498541676302977399259136*theta_K - 34978788740903981495309787472989776892813805006395013708382208,x^2 - x - 1086,2,2,0,4345,59319,1,False
1021,1212366323376673348306198514747394672*theta_K - 40571410397443624272105410902607258064,4110927452986579850203150411695585634226004319393071744*theta_K - 137544417217787534651036995447209566090821634989540066176,x^2 - x - 1086,2,2,0,4345,59319,1,False
1022,-291812900199421709260488933413289572112*theta_K - 9471752731811763884586676111443006683472,-15349092008907403245985928447658264408770819168842765973376*theta_K - 498205540524982811018637074755000501969081271362165841716608,x^2 - x - 1086,2,2,0,4345,59319,1,False
1023,-12429343467413971342658954232459437579752636416*theta_K - 403435446016020383188249662507927784373851914240,4266760265065940752132513484782721407470380390428386092130193215848448*theta_K + 138491814559088285356698841048978675368246150102884937494071490560131072,x^2 - x - 1086,2,2,0,4345,59319,1,False
1024,67682285019068795460632553902203819919355868336782631180959744*theta_K - 302366531845857644398853079255994977581485621442858690153545728,-387444438765951639462784987368209419788687315203792283095749240718237136145417288857069551616*theta_K + 18661493410732239268767952165399821157128934174135456677721275856739143204497934667793530093568,x^2 - x + 1092,2,0,1,-4367,1331,1,False
1025,-229316501426429684176111414920382479028224*theta_K - 795141157055402563219700182824175018635264,76409942671938872100310791558994545732765937154082836228603904*theta_K + 3603920703519606461055147573618818372801830318432684567508287488,x^2 - x + 1092,2,0,1,-4367,1331,1,False
1026,48046725063244160*theta_K - 4767532986092187200/3,788197265251415803040029696/27*theta_K - 2896683698264494796664702976/3,x^2 - 1094,2,2,0,4376,8000,1,True
1027,42659055797413705696385866274395791466007147379840*theta_K - 4232930660768425950490465301353405503564314381518400/3,-20852402317603386211384171837702455069533675971798812430374144311795769785344/27*theta_K + 25544710918608032788170036615199099906065455878117981890850991821268221315072,x^2 - 1094,2,2,0,4376,8000,1,True
1028,124506092880088897771432227417380400*theta_K - 4199622547843077617328150271889251955,-169508611374497681570292419897790783494970620768681744*theta_K + 5717569075655679360574644501465630086215415015512946062,x^2 - x - 1104,2,2,0,4417,-3375,1,True
1029,-124506092880088897771432227417380400*theta_K - 4075116454962988719556718044471871555,169508611374497681570292419897790783494970620768681744*theta_K + 5548060464281181679004352081567839302720444394744264318,x^2 - x - 1104,2,2,0,4417,-3375,1,True
1030,33865657263384180193829565857527468800*theta_K - 1142297333013317111913256873953876531760,-618367414294167542368426747787140778189652824564151002112*theta_K + 20857691987991918307376303141346618554513833976591227234176,x^2 - x - 1104,2,2,0,4417,16581375,1,True
1031,-33865657263384180193829565857527468800*theta_K - 1108431675749932931719427308096349062960,618367414294167542368426747787140778189652824564151002112*theta_K + 20239324573697750765007876393559477776324181152027076232064,x^2 - x - 1104,2,2,0,4417,16581375,1,True
1032,-3040*theta_K - 101100,646976*theta_K + 21516208,x^2 - 1106,2,2,0,4424,-3375,1,False
1033,-760*theta_K - 25275,80872*theta_K + 2689526,x^2 - 1106,2,2,0,4424,-3375,1,True
1034,760*theta_K - 25275,-80872*theta_K + 2689526,x^2 - 1106,2,2,0,4424,-3375,1,True
1035,3040*theta_K - 101100,-646976*theta_K + 21516208,x^2 - 1106,2,2,0,4424,-3375,1,False
1036,-2754169732096/3*theta_K - 30531420445888,74550450621050724352/27*theta_K + 2479292898128154784768/27,x^2 - 1106,2,2,0,4424,x^2 - 19365306*x + 3359498792833,2,False
1037,-10529792/3*theta_K - 116728576,554574921728/27*theta_K + 18443264253952/27,x^2 - 1106,2,2,0,4424,x^2 - 19365306*x + 3359498792833,2,False
1038,-1126037866262520283136/3*theta_K - 12482722154777230603008,-616302194165243591604810773430272/27*theta_K - 20496102174642385769594370336514048/27,x^2 - 1106,2,2,0,4424,x^2 - 19365306*x + 3359498792833,2,False
1039,-281509466565630070784/3*theta_K - 3120680538694307650752,-77037774270655448950601346678784/27*theta_K - 2562012771830298221199296292064256/27,x^2 - 1106,2,2,0,4424,x^2 - 19365306*x + 3359498792833,2,False
1040,-11016678928384/3*theta_K - 122125681783552,596403604968405794816/27*theta_K + 19834343185025238278144/27,x^2 - 1106,2,2,0,4424,x^2 - 19365306*x + 3359498792833,2,False
1041,336505088/3*theta_K - 3730335936,-100681962907648/27*theta_K + 3348337582496768/27,x^2 - 1106,2,2,0,4424,x^2 - 19365306*x + 3359498792833,2,False
1042,-2632448/3*theta_K - 29182144,69321865216/27*theta_K + 2305408031744/27,x^2 - 1106,2,2,0,4424,x^2 - 19365306*x + 3359498792833,2,False
1043,1346020352/3*theta_K - 14921343744,-805455703261184/27*theta_K + 26786700659974144/27,x^2 - 1106,2,2,0,4424,x^2 - 19365306*x + 3359498792833,2,False
1044,-1117030547162377359608269892614205849979545763000000000*theta_K - 37148614578327747058025028336610595866096077841875000000,3705756196308092891208131289454330464721292685591302147927026040231877000000000000*theta_K + 123240771090509939674045906054022994330052421499500847026233834180936284750000000000,x^2 - 1106,2,2,0,4424,16581375,1,False
1045,1117030547162377359608269892614205849979545763000000000*theta_K - 37148614578327747058025028336610595866096077841875000000,-3705756196308092891208131289454330464721292685591302147927026040231877000000000000*theta_K + 123240771090509939674045906054022994330052421499500847026233834180936284750000000000,x^2 - 1106,2,2,0,4424,16581375,1,False
1046,279257636790594339902067473153551462494886440750000000*theta_K - 9287153644581936764506257084152648966524019460468750000,-463219524538511611401016411181791308090161585698912768490878255028984625000000000*theta_K + 15405096386313742459255738256752874291256552687437605878279229272617035593750000000,x^2 - 1106,2,2,0,4424,16581375,1,True
1047,-279257636790594339902067473153551462494886440750000000*theta_K - 9287153644581936764506257084152648966524019460468750000,463219524538511611401016411181791308090161585698912768490878255028984625000000000*theta_K + 15405096386313742459255738256752874291256552687437605878279229272617035593750000000,x^2 - 1106,2,2,0,4424,16581375,1,True
1048,-1399056160365404160*theta_K - 45854578079811230720,5196102146252449056224366592*theta_K + 170304150988319007110127817728,x^2 - x - 1107,2,2,0,4429,-884736000,1,True
1049,1399056160365404160*theta_K - 47253634240176634880,-5196102146252449056224366592*theta_K + 175500253134571456166352184320,x^2 - x - 1107,2,2,0,4429,-884736000,1,True
1050,-60438146088716907062006834688*theta_K - 1989039196054251207623985440768,46794399945911224978603956977862200516891648*theta_K + 1540019038830718486703034008524419449601388544,x^2 - x - 1116,2,2,0,4465,-884736,1,False
1051,7094929920*theta_K - 240591398912,-1882128827448320*theta_K + 63823605396287488,x^2 - x - 1116,2,2,0,4465,-884736,1,False
1052,5176898268957536256*theta_K - 175550317000679384576,-37096388196272226235974258688*theta_K + 1257950681875620133748980474880,x^2 - x - 1116,2,2,0,4465,-884736,1,True
1053,-5176898268957536256*theta_K - 170373418731721848320,37096388196272226235974258688*theta_K + 1220854293679347907513006216192,x^2 - x - 1116,2,2,0,4465,-884736,1,True
1054,-25190016012198234542956069198742080019218898257182447585250738978207230720*theta_K - 830518252331450897109079272486628783412562971646193205739547707628477353264,398138810782649652441570531773510873340232277289796025005922137792070548648408390189656278346774682904741250048*theta_K + 13126690715433154136543949463592649393061619087463697066378786062046708542268755671714716544438845806856336231296,x^2 - x - 1120,2,2,0,4481,x^2 - 59798385469314*x + 52770200297123210049,2,False
1055,25190016012198234542956069198742080019218898257182447585250738978207230720*theta_K - 855708268343649131652035341685370863431781869903375653324798446606684583984,-398138810782649652441570531773510873340232277289796025005922137792070548648408390189656278346774682904741250048*theta_K + 13524829526215803788985519995366160266401851364753493091384708199838779090917164061904372822785620489761077481344,x^2 - x - 1120,2,2,0,4481,x^2 - 59798385469314*x + 52770200297123210049,2,False
1056,289920*theta_K - 29185600/3,-435835904*theta_K + 394871658496/27,x^2 - 1126,2,2,0,4504,8000,1,True
1057,-289920*theta_K - 29185600/3,435835904*theta_K + 394871658496/27,x^2 - 1126,2,2,0,4504,8000,1,True
1058,62588745630976*theta_K - 6406432090142560/3,-4810406401659025918912/3*theta_K + 1477144571002405950658160/27,x^2 - x - 1130,2,2,0,4521,-32768,1,False
1059,-25160341064905748937472/3*theta_K - 833290140046135694334560/3,22384714298376193959628799655270464/9*theta_K + 2224090881494953504538570623323226160/27,x^2 - x - 1130,2,2,0,4521,-32768,1,False
1060,86941475126201600/3*theta_K - 2966372791134140768/3,-143786223291251715990737600/9*theta_K + 14717608824510231478980134896/27,x^2 - x - 1130,2,2,0,4521,-32768,1,True
